id,name,state,grade,score,size_tier,national_percentile,snapshot_date,days_until_expiry,expiry_status,mdb_id,validator_version,feed_url,top_fix,scorecard_url
transfort-city-of-fort-collins-transfort,Transfort – City of Fort Collins (Transfort),Colorado,F,39.9,medium,14,2026-07-04,-784,stale,179,8.0.1,http://www.ridetransfort.com/img/site_specific/uploads/google_transit.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/transfort-city-of-fort-collins-transfort/
transit-authority-of-northern-kentucky-tank,Transit Authority of Northern Kentucky (TANK),Kentucky,F,30.6,medium,6,2026-07-04,-916,stale,367,8.0.1,https://www.tankbus.org/Portals/tankbus/gtfs/tank-google-transit.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/transit-authority-of-northern-kentucky-tank/
transit-authority-of-northern-kentucky-tank-2068,Transit Authority of Northern Kentucky (TANK),Kentucky,C,70.9,medium,62,2026-07-04,125,current,2068,8.0.1,https://tank.rideralerts.com/InfoPoint/GTFS-Zip.ashx,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/transit-authority-of-northern-kentucky-tank-2068/
transit-authority-of-river-city-tarc,Transit Authority of River City (TARC),Kentucky,F,16.4,large,1,2026-07-04,-392,stale,364,8.0.1,http://googletransit.ridetarc.org/feed/google_transit.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/transit-authority-of-river-city-tarc/
transit-authority-of-river-city-tarc-2662,Fixed Route,Kentucky,D,64.9,large,55,2026-07-04,28,expiring_soon,2662,8.0.1,https://tarc.rideralerts.com/InfoPoint/gtfs-zip.ashx,Re-export with a validity window that reaches at least 60 days out.,https://gtfsscorecard.org/agency/transit-authority-of-river-city-tarc-2662/
transit-orange-newburgh-local-transit,Transit Orange / Newburgh Local Transit,New York,F,55.3,small,44,2026-07-04,-901,stale,924,8.0.1,https://s3.amazonaws.com/datatools-511ny/public/Newburgh_Bus.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/transit-orange-newburgh-local-transit/
transportation-management-association-of-chester-county-tmacc,Transportation Management Association of Chester County (TMACC),,C,71.7,small,63,2026-07-04,544,current,3130,8.0.1,https://www.modeshift.app/api/v1/0045359e-7cae-4a10-b680-cafe365c6554/transport/gtfs/gtfs.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/transportation-management-association-of-chester-county-tmacc/
tri-delta-transit,Tri Delta Transit,California,F,50.2,medium,35,2026-07-04,-1646,stale,1323,8.0.1,https://transitfeeds.com/p/tri-delta-transit/1148/latest/download,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/tri-delta-transit/
tri-valley-transit,Tri-Valley Transit,Vermont,C,78.9,medium,78,2026-07-04,120,current,852,8.0.1,https://data.trilliumtransit.com/gtfs/trivalleytransit-vt-us/trivalleytransit-vt-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/tri-valley-transit/
tri-valley-transit-852,Tri-Valley Transit,Vermont,C,78.9,medium,78,2026-07-04,120,current,852,8.0.1,http://data.trilliumtransit.com/gtfs/trivalleytransit-vt-us/trivalleytransit-vt-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/tri-valley-transit-852/
