id,name,date,grade,score,correctness,freshness,completeness,realtime,days_until_expiry
cortran,Flex,2026-07-06,C,78.4,90.0,100.0,45.0,,118
cottonwood-area-transit-cat,Cottonwood Area Transit (CAT),2026-07-06,C,79.4,84.0,100.0,56.6,,148
cottonwood-area-transit-cat-158,Cottonwood Area Transit (CAT),2026-07-06,C,79.4,84.0,100.0,56.6,,148
county-connection-cccta,County Connection (CCCTA),2026-07-06,F,51.9,55.5,0.0,88.4,,-905
county-connection-cccta-2421,County Connection (CCCTA),2026-07-06,D,63.7,59.5,40.0,88.6,,33
cripple-creek-transportation,Cripple Creek Transportation,2026-07-06,C,78.4,90.0,100.0,45.0,,101
cripple-creek-transportation-2042,Flex v2 included,2026-07-06,C,77.5,87.8,100.0,45.0,,101
cripple-creek-transportation-317,Cripple Creek Transportation,2026-07-06,C,78.4,90.0,100.0,45.0,,101
cudahy-area-rapid-transit,Cudahy Area Rapid Transit,2026-07-06,F,41.7,74.0,0.0,30.0,,-1648
cudahy-area-rapid-transit-2248,Cudahy Area Rapid Transit,2026-07-06,F,47.1,75.5,0.0,45.0,,-156
cudahy-area-rapid-transit-318,Cudahy Area Rapid Transit,2026-07-06,F,41.7,74.0,0.0,30.0,,-1648
cue-bus,CUE Bus,2026-07-06,F,47.9,88.0,0.0,30.0,,-179
culver-city-bus,Culver City Bus,2026-07-06,F,57.8,72.8,10.0,75.1,,6
curry-public-transit,Curry Public Transit,2026-07-06,B,84.9,94.0,100.0,60.0,,118
cuttyhunk-ferry-company,Cuttyhunk Ferry Company,2026-07-06,B,83.1,90.0,100.0,60.0,,147
cuttyhunk-ferry-company-423,Cuttyhunk Ferry Company,2026-07-06,B,83.1,90.0,100.0,60.0,,147
cyride,CyRide,2026-07-06,B,81.4,93.5,68.3,75.0,,41
dallas-area-rapid-transit-dart,Dallas Area Rapid Transit (DART),2026-07-06,F,22.8,0.0,21.7,55.5,,13
dallas-host-committee,Dallas Host Committee,2026-07-06,F,55.1,91.5,13.3,37.5,,8
dana-point-trolley,Dana Point Trolley,2026-07-06,D,62.2,77.5,85.0,22.5,,8943
danville-transit,Flex,2026-07-06,B,85.0,94.0,100.0,60.3,,86
dartmouth-college,Dartmouth College,2026-07-06,C,76.9,94.0,86.7,45.0,,52
dattco-motorcoach,DATTCO Motorcoach,2026-07-06,F,50.9,73.5,0.0,60.0,,-978
dattco-motorcoach-555,DATTCO Motorcoach,2026-07-06,F,50.9,73.5,0.0,60.0,,-978
dc-circulator,Service Discontinued,2026-07-06,F,39.4,61.5,0.0,39.9,,-1556
dc-streetcar,DC Streetcar,2026-07-06,F,45.9,62.0,0.0,60.0,,-1131
dc-streetcar-2223,DC Streetcar,2026-07-06,F,57.2,88.0,0.0,60.0,,-371
dc-streetcar-487,DC Streetcar,2026-07-06,F,45.9,62.0,0.0,60.0,,-1131
dekalb-public-transit,DeKalb Public Transit,2026-07-06,C,74.3,76.5,100.0,50.8,,543
dekalb-public-transit-308,DeKalb Public Transit,2026-07-06,C,74.3,76.5,100.0,50.8,,543
delano-area-rapid-transit,Delano Area Rapid Transit,2026-07-06,B,87.5,100.0,100.0,60.0,,86
delaware-transit-corporation-dart-first-state,Delaware Transit Corporation (DART First State),2026-07-06,F,48.0,25.5,100.0,37.9,,131
delmarva-community-transit,Delmarva Community Transit,2026-07-06,F,31.4,45.0,0.0,37.5,,-1591
des-moines-area-regional-transit-authority-dart,Des Moines Area Regional Transit Authority (DART),2026-07-06,F,58.3,84.0,78.3,22.7,37.9,47
detroit-department-of-transportation-ddot,Detroit Department of Transportation (DDOT),2026-07-06,C,73.4,73.2,100.0,52.5,,76
detroit-people-mover,Detroit People Mover,2026-07-04,F,26.2,60.0,0.0,0.0,,
detroit-people-mover-2281,Detroit People Mover,2026-07-06,B,82.6,90.0,100.0,58.4,,178
devils-postpile-national-monument,Reds Meadow Shuttle,2026-07-06,B,85.6,79.8,100.0,82.1,,178
diamond-express,Diamond Express,2026-07-06,B,85.8,100.0,93.3,60.0,,56
discover-goodwill,Flex v2 included,2026-07-06,C,75.5,94.0,100.0,30.0,,87
dodger-area-rapid-transit,Dodger Area Rapid Transit,2026-07-06,C,72.9,100.0,41.7,59.8,,25
dodger-area-rapid-transit-203,Dodger Area Rapid Transit,2026-07-06,C,72.9,100.0,41.7,59.8,,25
dolores-county,Dolores County,2026-07-06,D,61.3,94.0,43.3,30.0,,26
downeylink,DowneyLINK,2026-07-06,F,46.9,74.5,0.0,45.9,,-552
downtown-alliance,Downtown Alliance,2026-07-06,A,92.2,100.0,100.0,75.0,,117
downtown-alliance-519,Downtown Alliance,2026-07-06,A,92.2,100.0,100.0,75.0,,117
dry-tortugas-national-park,DRTO Ferry Service,2026-07-06,A,99.8,99.5,100.0,100.0,,117
duarte-transit,Duarte Transit,2026-07-06,F,46.8,64.0,0.0,60.0,,-2378
